epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,526.076,1.38449,2.09139,0.84139,0.41582,0.43919,0.40984,0.24344,1.29643,2.91088,0.81038,0.0003875,0.0003875,0.0003875
2,942.486,1.33542,0.82513,0.82431,0.74851,0.51124,0.50021,0.27523,1.3761,1.44202,0.82175,0.000771908,0.000771908,0.000771908
3,1395.45,1.55232,0.87026,0.8495,0.56191,0.35635,0.29517,0.11462,2.118,1.53831,0.90086,0.00114047,0.00114047,0.00114047
4,1912.33,1.60777,0.83346,0.84665,0.76714,0.61354,0.60167,0.32698,1.44259,1.03205,0.82411,0.00117575,0.00117575,0.00117575
5,2426.66,1.31828,0.69234,0.82396,0.90967,0.59103,0.69107,0.40962,1.2258,0.67912,0.81014,0.001151,0.001151,0.001151
6,2947.7,1.25988,0.63469,0.81841,0.81879,0.66648,0.69193,0.4304,1.14543,0.63654,0.80324,0.00112625,0.00112625,0.00112625
7,3409.62,1.21945,0.60463,0.81796,0.80348,0.6708,0.71913,0.4422,1.179,0.57002,0.8048,0.0011015,0.0011015,0.0011015
8,3891.24,1.23774,0.59309,0.81462,0.8171,0.66826,0.71376,0.43494,1.1785,0.55703,0.80645,0.00107675,0.00107675,0.00107675
9,4382.06,1.23579,0.58215,0.81455,0.86715,0.66603,0.7207,0.43644,1.18386,0.56567,0.80588,0.001052,0.001052,0.001052
10,4879.46,1.19004,0.56639,0.81184,0.88655,0.62635,0.69381,0.40065,1.23355,0.58109,0.81687,0.00102725,0.00102725,0.00102725
11,5339.59,1.17295,0.55224,0.81444,0.83129,0.63025,0.71054,0.41941,1.21293,0.5948,0.80714,0.0010025,0.0010025,0.0010025
12,5790.18,1.16845,0.55745,0.8117,0.7566,0.57814,0.62121,0.32104,1.5367,0.68753,0.83023,0.00097775,0.00097775,0.00097775
13,6250.74,1.19903,0.5542,0.80966,0.88876,0.68255,0.74637,0.44997,1.14924,0.54535,0.80024,0.000953,0.000953,0.000953
14,6683.67,1.14296,0.5364,0.80778,0.89147,0.6745,0.73511,0.43427,1.24063,0.54498,0.8116,0.00092825,0.00092825,0.00092825
15,7136.56,1.10336,0.52357,0.80448,0.86019,0.69589,0.73539,0.4592,1.16677,0.52407,0.80891,0.0009035,0.0009035,0.0009035
16,7583.64,1.09477,0.51297,0.80607,0.87457,0.69038,0.75033,0.47606,1.11806,0.50399,0.80378,0.00087875,0.00087875,0.00087875
17,8069.61,1.03469,0.49466,0.80096,0.85975,0.686,0.75077,0.47754,1.09486,0.50011,0.8009,0.000854,0.000854,0.000854
18,8525.42,1.0596,0.50074,0.80307,0.69216,0.66028,0.69551,0.43668,1.16666,0.5601,0.80286,0.00082925,0.00082925,0.00082925
19,9000.27,1.07338,0.51742,0.80041,0.8925,0.67647,0.70703,0.44326,1.19997,0.55265,0.8073,0.0008045,0.0008045,0.0008045
20,9511.01,1.0383,0.48994,0.80041,0.8908,0.71463,0.75813,0.50067,1.04349,0.48866,0.79565,0.00077975,0.00077975,0.00077975
21,9994.33,1.07012,0.49698,0.80181,0.83943,0.72676,0.77372,0.4856,1.02024,0.49243,0.79406,0.000755,0.000755,0.000755
22,10466.9,1.04617,0.48332,0.80004,0.86211,0.7067,0.7749,0.49673,1.04413,0.47566,0.79652,0.00073025,0.00073025,0.00073025
23,10995.7,1.01811,0.46902,0.79858,0.81191,0.73613,0.78351,0.49712,1.07508,0.47673,0.80249,0.0007055,0.0007055,0.0007055
24,11476.7,1.00837,0.46727,0.79597,0.82696,0.71341,0.7594,0.48622,1.06106,0.47106,0.80013,0.00068075,0.00068075,0.00068075
25,11965.9,0.97392,0.45204,0.79773,0.84018,0.74343,0.77913,0.50231,1.097,0.46392,0.79913,0.000656,0.000656,0.000656
26,12449.5,1.00531,0.45934,0.798,0.86047,0.72521,0.77739,0.49278,1.13665,0.48207,0.80372,0.00063125,0.00063125,0.00063125
27,12947.7,0.97502,0.44704,0.79618,0.86689,0.73092,0.78508,0.50769,1.07333,0.46581,0.79707,0.0006065,0.0006065,0.0006065
28,13403.5,0.96298,0.43947,0.7952,0.88656,0.72295,0.78059,0.5096,1.01982,0.46479,0.79499,0.00058175,0.00058175,0.00058175
29,13883.7,0.98511,0.44849,0.79524,0.81048,0.74413,0.78118,0.49729,1.06065,0.46517,0.79679,0.000557,0.000557,0.000557
30,14355.1,1.00337,0.45463,0.79832,0.81641,0.74297,0.79117,0.51226,1.00796,0.45189,0.79354,0.00053225,0.00053225,0.00053225
31,14803.4,1.02284,0.45382,0.799,0.81845,0.74019,0.78025,0.52141,0.97908,0.4364,0.79242,0.0005075,0.0005075,0.0005075
32,15272,1.01142,0.44723,0.79651,0.85912,0.70323,0.76949,0.47615,1.21952,0.49195,0.80569,0.00048275,0.00048275,0.00048275
33,15733.8,1.00885,0.44094,0.79538,0.86725,0.74353,0.78542,0.50777,1.08974,0.45597,0.79886,0.000458,0.000458,0.000458
34,16195.3,0.99108,0.4353,0.79356,0.92161,0.71902,0.76771,0.46893,1.25703,0.49381,0.80916,0.00043325,0.00043325,0.00043325
35,16677.6,0.98336,0.43078,0.79315,0.8455,0.72885,0.78287,0.51047,1.05118,0.44963,0.79552,0.0004085,0.0004085,0.0004085
36,17171.7,0.94021,0.41935,0.7935,0.86592,0.73951,0.79869,0.52655,1.04552,0.43543,0.80154,0.00038375,0.00038375,0.00038375
37,17687.6,0.93065,0.41785,0.79316,0.91623,0.76109,0.80347,0.53037,0.98349,0.42537,0.79296,0.000359,0.000359,0.000359
38,18179.8,0.9078,0.40888,0.79211,0.85267,0.74951,0.80273,0.52732,0.99145,0.4252,0.79176,0.00033425,0.00033425,0.00033425
39,18674.5,0.92081,0.4142,0.79422,0.88568,0.7298,0.79186,0.51843,1.0779,0.45043,0.80037,0.0003095,0.0003095,0.0003095
40,19168.5,0.92394,0.41366,0.79222,0.90202,0.75454,0.80168,0.51853,1.07638,0.45013,0.80065,0.00028475,0.00028475,0.00028475
41,19674.7,0.87182,0.40321,0.7911,0.88301,0.75057,0.79847,0.52514,0.95108,0.433,0.78916,0.00026,0.00026,0.00026
42,20135.9,0.8526,0.40241,0.78968,0.84589,0.74392,0.79677,0.50448,1.08571,0.45784,0.80045,0.00023525,0.00023525,0.00023525
43,20591,0.86232,0.40215,0.79377,0.88182,0.71502,0.77985,0.49732,1.07158,0.45516,0.79892,0.0002105,0.0002105,0.0002105
44,21035.1,0.86809,0.40039,0.79275,0.88218,0.73127,0.79089,0.51307,1.02788,0.43706,0.79759,0.00018575,0.00018575,0.00018575
45,21494.8,0.84,0.3867,0.78774,0.91654,0.7541,0.81811,0.53712,0.95846,0.40966,0.79121,0.000161,0.000161,0.000161
46,21950.6,0.82489,0.37727,0.79064,0.90763,0.74877,0.80983,0.53332,0.96572,0.41938,0.79089,0.00013625,0.00013625,0.00013625
47,22387.2,0.83931,0.38199,0.78842,0.90994,0.73209,0.8033,0.5392,0.96136,0.41035,0.79158,0.0001115,0.0001115,0.0001115
48,22872.6,0.82868,0.37673,0.78635,0.91894,0.74549,0.81038,0.53453,0.99128,0.41589,0.79423,8.675e-05,8.675e-05,8.675e-05
49,23318.7,0.81535,0.37112,0.78911,0.90821,0.74562,0.81551,0.53447,0.99983,0.41178,0.79543,6.2e-05,6.2e-05,6.2e-05
50,23775.2,0.8003,0.36285,0.78776,0.9359,0.75064,0.82276,0.54394,0.96259,0.40537,0.79146,3.725e-05,3.725e-05,3.725e-05
