epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1976.93,0.93911,1.0162,0.85895,0.37929,0.7578,0.39059,0.26824,0.93385,2.12318,0.86946,0.000413411,0.000413411,0.000413411
2,3610.44,0.97372,0.60445,0.86765,0.85778,0.798,0.85801,0.54899,0.947,0.50192,0.86618,0.000813643,0.000813643,0.000813643
3,5248.3,0.93967,0.65884,0.86191,0.66079,0.62775,0.62954,0.40623,0.92758,0.65423,0.86153,0.00119737,0.00119737,0.00119737
4,6993.19,0.98261,0.59504,0.86481,0.90067,0.82171,0.85835,0.55563,0.97043,0.49992,0.87686,0.00117575,0.00117575,0.00117575
5,8519.01,0.98855,0.54995,0.86492,0.79134,0.86221,0.8847,0.57572,0.91225,0.48715,0.85735,0.001151,0.001151,0.001151
6,9937.83,0.90306,0.48636,0.8566,0.93722,0.83322,0.87879,0.54851,1.02505,0.48554,0.88782,0.00112625,0.00112625,0.00112625
7,11403,0.92293,0.5,0.86199,0.91297,0.83029,0.87262,0.5896,0.87522,0.44325,0.85327,0.0011015,0.0011015,0.0011015
8,13021.7,0.91738,0.49724,0.85191,0.90093,0.83228,0.87968,0.58956,0.85445,0.4392,0.8476,0.00107675,0.00107675,0.00107675
9,14535.7,0.87984,0.46919,0.85051,0.92641,0.83595,0.88783,0.56059,0.91955,0.45158,0.85965,0.001052,0.001052,0.001052
10,15968.6,0.88631,0.46729,0.8395,0.93133,0.83615,0.88197,0.57444,0.90055,0.44679,0.8488,0.00102725,0.00102725,0.00102725
11,17544.9,0.89664,0.45889,0.84822,0.87876,0.85192,0.87794,0.58529,0.88534,0.43593,0.85989,0.0010025,0.0010025,0.0010025
12,19022.6,0.82839,0.42637,0.83613,0.91332,0.85459,0.87818,0.59213,0.85156,0.39946,0.84692,0.00097775,0.00097775,0.00097775
