epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,472.853,1.33684,1.64886,0.83786,0.49448,0.30511,0.25895,0.11988,1.76134,2.08544,0.87634,0.0003875,0.0003875,0.0003875
2,881.604,1.30317,0.83913,0.82331,0.77272,0.54364,0.58978,0.34146,1.22029,1.14405,0.80623,0.000771908,0.000771908,0.000771908
3,1260.78,1.38034,0.79074,0.83006,0.7464,0.4718,0.5338,0.27337,1.43453,1.43078,0.83487,0.00114047,0.00114047,0.00114047
4,1633.06,1.31912,0.69352,0.82205,0.81006,0.59005,0.66013,0.38829,1.22185,0.72623,0.81187,0.00117575,0.00117575,0.00117575
5,1991.03,1.25717,0.67276,0.81995,0.78567,0.61582,0.67866,0.39192,1.16487,0.63718,0.80265,0.001151,0.001151,0.001151
6,2357.54,1.18592,0.63267,0.8151,0.77853,0.68544,0.70703,0.41544,1.11146,0.62432,0.80003,0.00112625,0.00112625,0.00112625
7,2709.96,1.16509,0.59942,0.81398,0.89059,0.64064,0.7194,0.44311,1.11884,0.55001,0.80151,0.0011015,0.0011015,0.0011015
8,3068.58,1.15428,0.57753,0.80868,0.92527,0.62706,0.71507,0.42054,1.25368,0.58132,0.80834,0.00107675,0.00107675,0.00107675
9,3397.1,1.21436,0.60841,0.81307,0.9004,0.59967,0.69205,0.41418,1.17935,0.59553,0.80895,0.001052,0.001052,0.001052
10,3745.04,1.15263,0.57617,0.811,0.88436,0.64281,0.71752,0.41602,1.1909,0.56096,0.80432,0.00102725,0.00102725,0.00102725
11,4125.66,1.08709,0.55597,0.80473,0.72977,0.56843,0.59705,0.31163,1.46195,0.68184,0.82576,0.0010025,0.0010025,0.0010025
12,4470.18,1.13777,0.5639,0.80921,0.81633,0.6566,0.74546,0.44786,1.17271,0.56273,0.80239,0.00097775,0.00097775,0.00097775
13,4836.74,1.13549,0.54807,0.80686,0.89042,0.70014,0.76736,0.47331,1.07481,0.50795,0.79844,0.000953,0.000953,0.000953
14,5262.17,1.07967,0.51953,0.80405,0.86191,0.68346,0.74548,0.4696,1.08217,0.51099,0.79898,0.00092825,0.00092825,0.00092825
